company,employmenttype_jobstatus,skills
"Digital Intelligence Systems, LLC","C2H Corp-To-Corp, C2H Independent, C2H W2, 3 MONTHS TO HIRE",SEE BELOW
University of Chicago/IT Services,Full Time,"linux/unix, network monitoring, incident response, systems administration, security accessment"
"Galaxy Systems, Inc.",Full Time,"Enterprise Solutions Architecture, business inteligence, reports, reporting"
TransTech LLC,Full Time,Please see job description
Matrix Resources,Full Time,"Configuration Management, Developer, Linux, Management, Process Engineering, VMware"
Yash Technologies,"Full Time, Permanant","FICO, AR, AP, Asset Management, HAHA"
Noble1,"Full Time, Direct Hire","Cisco, DNS, HTTP, Networking, Network Engineer, Security, Video, VPN, Wireless"
"Bluebeam Software, Inc.","Full Time, Full Time",".NET , C#, MVC, RESTful web services, HTTP, AWS, Azure, OOP"
Genesis10,"Full Time, Direct Placement","C++, Developer, Development, JavaScript, User Interface"
"VanderHouwen & Associates, Inc.","C2H W2, Contract to hire",(See Job Description)
"Maxonic, Inc.",Full Time,Openstack
CSI (Consultant Specialists Inc.),"Full Time, Contract Corp-To-Corp, Contract Independent, Contract W2, 12 Months","Unix, IAM, Scripting knowledge, OIM, Windows, Linux"
"VanderHouwen & Associates, Inc.","Full Time, Full time","Java, OSS"
Genesis10,"Full Time, Direct Placement","Consulting, Project, Sales, Sales Engineer"
"VanderHouwen & Associates, Inc.","Contract W2, Contract",mobile device
Eastridge Workforce Solutions,"Full Time, contract-to-hire",(See Job Description)
Collabera,Contract W2,QA
"VanderHouwen & Associates, Inc.","Full Time, Full time",Lawson Supply Chain
Genesis10,"Full Time, Direct Placement","Desktop, Hardware, Network, Software, Systems, Windows"
Fahrenheit IT Staffing & Consulting,"Full Time, Direct Hire",(See Job Description)
Genesis10,Full Time,"Analysis, Analyst, Application, Business Analyst, Business Requirements, Excel, IT, PowerPoint, Project"
Eastridge Workforce Solutions,"Full Time, Direct Hire",(See Job Description)
Avesta Computer Services,"Full Time, PERM","System Testing, Load/Performance Testing, FIX.FAST, C/C++, Java, Windows, Linux"
Genesis10,"Full Time, Right to Hire","Agile, CASE, Consulting, Defect Management, Manager, Management, Project, Project Management"
"VanderHouwen & Associates, Inc.","Full Time, Full time","MATLAB, LabVIEW"
Amazon,"Full Time, Full time","Do you want a chance to directly improve the customer experience for millions of customers a day? This position is a Product Manager in the Customer Experience team for Fulfillment by Amazon and Amazon Global Selling organization. Our vision is to transform global commerce by bringing selection from around the world to Customers anywhere in the world, with the same great customer experience Buyers expect from Amazon. In this role, you will set strategy and policy, build processes, and evangelize for technology solutions that allow third party Sellers from all over the world to bring hundreds of millions of new items to Amazon's 11 Marketplaces worldwide. You will determine what experience these Sellers must offer our customers, create the incentives and enforcement mechanisms to achieve this experience, and frequently audit the results. Responsibilities for this position will include creation of programs that drive improvement in our key customer experience metrics, management of global programs and stakeholders, and driving alignment for new programs at high levels of the organization. This position will also have management responsibility for product managers, data analysts, and an operations team. From Jeff Bezos' annual letter to Amazon shareholders: ""To further globalize Marketplace, we're now helping sellers in each of our geographies - and in countries where we don't have a presence - reach out to our customers in countries outside their home geographies. We hosted merchants from more than 100 different countries last year, and helped them connect with customers in 185 nations. Almost one-fifth of our overall third-party sales now occur outside the sellers' home countries, and our merchants' cross-border sales nearly doubled last year. In the EU, sellers can open a single account, manage their business in multiple languages, and make products available across our five EU websites. More recently, we've started consolidating cross-border shipments for sellers and helping them obtain ocean shipping from Asia to Europe and North America at preferential, bulk rates."" Fulfillment by Amazon (FBA) is an Amazon service for our third-party Sellers. The FBA team partners with Sellers and our Amazon Fulfillment Centers to create a seamless experience for Sellers to leverage our world-class facilities. 71% of our FBA Sellers report more than a 20% increase in unit sales after joining FBA. In a very real way, we are changing lives with the work we do. Our FBA employees wake up every day thinking about how to enable our Sellers to be successful on our platform. Enabling Seller success allows us to provide Amazon customers with unparalleled selection and pricing. FBA is a win for Sellers and a win for customers. Want to learn more about FBA? ? Seller's success stories: SellerSuccess ? A free book of stories from small businesses/sellers, authors, and innovators that are thriving on Amazon: Transformations-ebook"
"VanderHouwen & Associates, Inc.","Contract W2, Contract","Angular.JS, React, Node.js, JavaScript"
"ReqRoute, Inc",Full Time,selenium testing automation
Turnberry Solutions,"C2H Independent, C2H W2, 12+ mos",(INFORMATION SECURITY over 1 year(s) OR CYBER SECURITY over 1 year(s) OR SECURITY over 1 year(s) ) AND(FIREEYE OR FIRE EYE )
"VanderHouwen & Associates, Inc.","Full Time, Full time","C and C++, Linux, UNIX"
Alpha Recruitment,"Full Time, Fulltime Permanent",Bachelor's degree with 5 years of experience developing software applications in C++ preferably in a Linux environment is required. Experience with .NET or Java preferred.
Genesis10,Full Time,"Development, IT, Network, Project, Sales"
"Maxonic, Inc.",Full Time,"Android, Mobile"
CSI (Consultant Specialists Inc.),"Contract W2, 19 Months","Scheduling, Primavera 6.0, Unifier, MS Project Stadard, EIT, Construction, Pharma or Biotech"
"VanderHouwen & Associates, Inc.","Contract W2, Contract","AI, Maya, Browzwear, 3D"
"VanderHouwen & Associates, Inc.","Full Time, Full time","Java and Java EE, JSF, Spring, Struts, and Hibernate"
Genesis10,"Full Time, Contract","Consulting, Database, Lifecycle, Management, Metrics, PMP, Project, Sales, SalesForce, Scheduling, Telecommunications"
Etouch Systems Corp,"Contract Independent, Contract W2, 12+ Months",Need a strong core Java Developer with some good Data experience. Must have experience with distributed computing.
"VanderHouwen & Associates, Inc.","Contract W2, Contract",".NET and C#, SQl"
Centizen,"Full Time, Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2","Manual and Automation Mobile testing experience-Desktop applications, Consumer Electronics Devices, and Websites"
CSI (Consultant Specialists Inc.),"Contract W2, C2H Corp-To-Corp, C2H Independent, market","Project Management, Operations Analysis, BANKING, (Financial Services, Wealth Management, Regulated Environment, Info Sec, Security and Risk Management,"
Mygo Consulting,"Contract Corp-To-Corp, 6+ MONTHS","Informatica Admin,Oracle,Sql"
Amazon,"Full Time, Fulltime","DESCRIPTION Do you want to help build a highly personalized homepage that greets each of our millions of customers worldwide every time they visit Amazon.com? Are you interested in building data pipelines that process petabytes of customer behavior data? Amazon's Homepage Personalization team develops and supports personalization and recommendations for Amazon customers across music, books, movies, fashion, and everything else that Amazon offers. We analyze petabytes of implicit and explicit feedback data on our hundreds of millions of customers and billions of products in order to guide the development of a meaningful and highly personalized homepage experience. We are looking for an experienced and forward thinking software engineer with a focus on data engineering to join our team. This person will work closely with other software engineers and machine learning scientists to design and implement predictive, scalable models for everything from product recommendations to personalized mobile content layouts. You will work directly with machine learning scientists to scale up collaborative filtering models on retail purchases, Prime Video views, Prime Music streams, and other Amazon data to deeply understand our customers. This is one of the foremost roles in data engineering with the opportunity to reach millions of customers on one of the highest traffic consumer websites in the world. If you are passionate about data engineering, software engineering and personalization at scale then we encourage you to apply. BASIC QUALIFICATIONS - BS or MS degree in computer science or related field. - Strong coding experience, preferably with Scala, Python, Java, or C++. - Strong grasp of data structures and algorithms. - Ability to explain complex issues in technical and non-technical terms. - Cares deeply about agile software practices, data driven development, and collaborating with other engineers and researchers. - Working knowledge of Hadoop, Spark, Redshift, DynamoDB, Kinesis, or other big data technologies. PREFERRED QUALIFICATIONS - Experience with supervised and unsupervised machine learning models. - Experience with collaborative filtering and recommender systems. - Experience running and evaluating AB Tests."
Genesis10,"Full Time, Contract","Analysis, Analyst, Business Analyst, Consulting, Data Analysis, Development, Excel, Manager, Outlook, PowerPoint, Project, SQL, Supervision"
Alpha Consulting Corp.,"Contract Independent, Contract W2, 6+ mos",(SITE OR ON SITE OR ON-SITE ) AND(MONITOR OR MONITORING ) AND(PHARMA OR PHARMACEUTICAL COMPANIES ) AND(CRA OR CLINICAL RESEARCH ASSOCIATE )
Eastridge Workforce Solutions,,Telecommuting not available Travel not required
Eastridge Workforce Solutions,,(See Job Description)
Ascent,"Contract Independent, Contract W2","Looking for two-to-three Senior Java Developers with experience in eCommerce. Strong Java, Spring Framework and Hibernate ORM. The ideal candidate will have experience building their own e-commerce product or working with an existing ecommerce site. Looking for typical eCommerce experience such as PIM, PCI, shopping carts, payment gateways, catalogs, etc. Any experience with BroadLeaf, ElasticPath or KonaKart is a plus. My client will train on the eCommerce tools"
Alpha Recruitment,"Full Time, Fulltime Permanent","Electrical Engineering degree with experience in scientific programming, especially C/C++, GPS or other navigation systems; geolocation observable processing."
Alpha Recruitment,"Full Time, Fulltime Permanent","Active Secret clearance required, knowledge of product development and procedures, including knowledge of general accounting. Ability to manage a diverse range of technical operations"
Eastridge Workforce Solutions,,(See Job Description)
Amerit Consulting,"Full Time, Contract W2, 6 months CTH",".Net, TFS, Web services, WCF, JQuery, AJAX, JavaScript, VB, VB Script, XML/XSL, CSS, architectural design patterns"
"VanderHouwen & Associates, Inc.","Contract W2, Contract","Angular.JS, React, Node.js, JavaScript"
Genesis10,Full Time,"Development, IT, Network, Project, Sales"
Tellus Solutions,"Contract Corp-To-Corp, 12 Months","HTML, JavaScript, CSS, AJAX"
Genesis10,"Full Time, Direct Placement",".Net, Algorithms, Developer, JavaScript, Linux, OOD, OOP, Programming, Systems, Windows"
Genesis10,"Full Time, Right to Hire","Analyst, Business Analyst, Business Requirements, Consulting, Development, Lifecycle, Management, MS Office, Project, Testing"
Amazon,"Full Time, Employee - Full Time","10+ years of technical management experience Track record of building and delivering mission critical, 24x7 production software systems"
Stratitude Inc,"Contract Corp-To-Corp, 12+ months","Angular JS, Java/J2EE, Spring , Hibernate"
Fahrenheit IT Staffing & Consulting,,(See Job Description)
Xoriant Corporation,"Contract Independent, Contract W2, C2H Independent, C2H W2, 1+ Yrs","Algorithm Engineer , Computer vision, Open CV ,algorithm R&D experiences, Android programming will be a plus."
"VanderHouwen & Associates, Inc.","Contract W2, Contract","Node.js, JavaScript"
CSI (Consultant Specialists Inc.),"Contract W2, 12 Months","SAP APO, MS Excel, BW reporting, Pharma or Biotech"
